DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695191c7f._getpgpkey.example.com CERT 0.008013
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c5ae8._getpgpkey.example.com CERT 0.007675
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e5dc8._getpgpkey.example.com CERT 0.007700
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c75b2._getpgpkey.example.com CERT 0.007777
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695178225._getpgpkey.example.com CERT 0.007809
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c6bf1._getpgpkey.example.com CERT 0.007896
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ad2a2._getpgpkey.example.com CERT 0.007849
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515e63b._getpgpkey.example.com CERT 0.007839
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ff0a7._getpgpkey.example.com CERT 0.007865
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515ad17._getpgpkey.example.com CERT 0.007818
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517a87d._getpgpkey.example.com CERT 0.007654
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513bd94._getpgpkey.example.com CERT 0.008053
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515e6cb._getpgpkey.example.com CERT 0.007846
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104b7a._getpgpkey.example.com CERT 0.008745
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d25e9._getpgpkey.example.com CERT 0.008447
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695136931._getpgpkey.example.com CERT 0.008448
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695131917._getpgpkey.example.com CERT 0.001318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513b79d._getpgpkey.example.com CERT 0.001408
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513eb1b._getpgpkey.example.com CERT 0.001357
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951979b7._getpgpkey.example.com CERT 0.001417
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d904c._getpgpkey.example.com CERT 0.001548
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951df6ae._getpgpkey.example.com CERT 0.001546
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a249a._getpgpkey.example.com CERT 0.001657
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511eaa5._getpgpkey.example.com CERT 0.001645
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695118a4e._getpgpkey.example.com CERT 0.001726
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513b754._getpgpkey.example.com CERT 0.001685
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511ee0f._getpgpkey.example.com CERT 0.001754
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695166556._getpgpkey.example.com CERT 0.001710
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519d844._getpgpkey.example.com CERT 0.001746
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695159543._getpgpkey.example.com CERT 0.001963
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518aa58._getpgpkey.example.com CERT 0.001785
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cf08e._getpgpkey.example.com CERT 0.002026
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511bfe8._getpgpkey.example.com CERT 0.002018
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951708cb._getpgpkey.example.com CERT 0.001803
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951be406._getpgpkey.example.com CERT 0.002146
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951923c6._getpgpkey.example.com CERT 0.002175
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695116f0e._getpgpkey.example.com CERT 0.002203
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f6044._getpgpkey.example.com CERT 0.002325
